#,claim_status,video_id,video_duration_sec,video_transcription_text,verified_status,author_ban_status,video_view_count,video_like_count,video_share_count,video_download_count,video_comment_count,like_per_view,comment_per_view,share_per_view,text_length
53,claim,6346301856,40,a friend shared with a friend that yellowstone national park is home to a supervolcano,not verified,active,301749.0,27047.0,1544.0,230.0,18.0,0.08963409986445689,5.9652227513595736e-05,0.005116835515610657,86
54,claim,8355089614,54,a friend shared with a friend that the largest rock on earth is in australia,not verified,active,971357.0,111164.0,13178.0,2338.0,728.5,0.11444196109154513,0.0008019708510877051,0.013566587773599202,76
55,claim,1767010474,29,a friend shared with a friend that the average british driver will spend around 99 days of their life stuck in traffic,not verified,active,302525.0,23738.0,673.0,314.0,118.0,0.07846624245930088,0.0003900504090571027,0.0022246095364019504,118
56,claim,6315458270,39,a friend shared with a friend that windshield wipers were invented in 1905,not verified,active,578064.0,269616.0,45382.5,2880.125,728.5,0.46641202358216394,0.005745038611641618,0.11576918818677516,74
57,claim,5775227146,25,a friend shared with a friend that the origins of the banjo instrument begin in africa,not verified,active,205584.0,49255.0,5072.0,1186.0,223.0,0.23958576542921628,0.0010847147637948478,0.02467118063662542,86
58,claim,7667994370,12,a friend shared with a friend that an average user spends 40% of their day on the internet,not verified,active,422117.0,112780.0,26052.0,1038.0,380.0,0.26717710966390834,0.0009002243453829151,0.06171748591030449,90
59,claim,3024206043,49,a friend shared with a friend that half of retail purchases are now made through a mobile device,not verified,active,265598.0,59672.0,4952.0,815.0,400.0,0.2246703664937236,0.0015060354370138329,0.018644718710231253,96
60,claim,2931436974,13,a friend shared with a friend that the most watched summer olympics event for the past 20 years has been gymnastics,not verified,active,307222.0,13123.0,4689.0,130.0,63.0,0.04271503993854607,0.00020506343946722564,0.015262578851774938,115
61,claim,8774049123,34,a friend shared with a friend that badminton is the fastest ball and net sport in the world,not verified,active,962886.0,174445.0,10848.0,619.0,162.0,0.1811689026530659,0.00016824421582617256,0.01126613119310074,91
62,claim,1712882974,32,"a friend shared with a friend that starting in 1990, american basketball player michael jordan and the chicago bulls never had a three-game losing streak for eight years",not verified,banned,29060.0,1219.0,171.0,3.0,1.0,0.04194769442532691,3.441156228492774e-05,0.005884377150722643,169
63,claim,8610989068,56,a friend shared with a friend that a dog’s sense of smell is much more powerful than a human's,not verified,active,952372.0,10191.0,114.0,223.0,55.0,0.01070065058611551,5.775054285510284e-05,0.00011970112519057679,94
64,claim,8244180015,37,"a friend shared with a friend that a common garden snail has over 12,000 teeth",not verified,active,986657.0,311333.875,45382.5,2880.125,728.5,0.5451154757935128,0.0029300962745918793,0.20217562942339637,78
65,claim,7043718296,44,a friend shared with a friend that koalas sleep up to 22 hours per day,not verified,active,561388.0,152488.0,26474.0,2668.0,291.0,0.2716267536890707,0.0005183580696416738,0.04715811524293358,70
66,claim,2833181639,30,a friend shared with a friend that some sharks can glow in the dark,not verified,under review,773587.0,279571.0,16917.0,2880.125,728.5,0.3613956801238904,0.0017205563175182624,0.02186825786886284,67
67,claim,8560734678,26,a friend shared with a friend that it would take 258 earth days to drive around one of saturn’s rings at a speed of 75 mph,not verified,under review,71676.0,45324.0,6977.0,503.0,258.0,0.6323455549974887,0.003599531223840616,0.09734081142920922,122
68,claim,6496578100,55,a friend shared with a friend that sputnik was the first artificial satellite in space,not verified,banned,663764.0,113266.0,31512.0,2325.0,564.0,0.17064197515984597,0.0008496995920236711,0.047474704864982134,86
69,claim,3916624482,31,a friend shared with a friend that neptune radiates more heat than it gets from the sun,not verified,under review,170467.0,86546.0,19813.0,721.0,447.0,0.5076994374277719,0.002622208403972616,0.11622777429062517,87
70,claim,5342027952,5,a friend shared with a friend that a day on mars is about the same length as on earth,not verified,under review,988418.0,311333.875,45382.5,239.0,22.0,0.34842647543852906,2.2257789720543334e-05,0.07953922328407617,85
71,claim,7417954522,27,a friend shared with a friend that there’s a planet made of diamonds two times the size of earth,not verified,active,345192.0,63925.0,7783.0,99.0,57.0,0.1851867945954715,0.00016512549537648613,0.022546872465178797,96
72,claim,9903088754,43,a friend shared with a friend that there is a world championship for throwing mobile phones,not verified,active,755590.0,128952.0,25210.0,1750.0,498.0,0.17066398443600364,0.0006590876004182163,0.033364655434825766,91
73,claim,5423860831,48,a friend shared with a friend that avocados never ripen while they are still attached to the tree,not verified,under review,611144.0,46826.0,12186.0,503.0,44.0,0.07662024007435236,7.199612529943843e-05,0.01993965415679447,97
74,claim,3679640007,34,a friend shared with a friend that people are born with only 2 natural fears: the fear of falling and the fear of loud sounds,not verified,active,929654.0,311333.875,45382.5,588.0,176.0,0.6631477947709578,0.00018931774617223182,0.10458191972497295,125
75,claim,5979401954,7,a friend shared with a friend that humans can’t taste food without saliva,not verified,active,208229.0,115949.0,2253.0,2058.0,149.0,0.5568340624984992,0.0007155583516224926,0.010819818565137421,73
76,claim,2473723793,17,a friend shared with a friend that the eiffel tower leans away from the sun,not verified,banned,248398.0,139777.0,17309.0,1639.0,209.0,0.562713870482049,0.0008413916376138294,0.06968252562419987,75
77,claim,2342638585,31,a friend shared with a friend that only one-fourth of the sahara desert is sandy,verified,active,677288.0,214708.0,45382.5,2167.0,728.5,0.317011374777052,0.0021084088305122783,0.0981059755967919,80
78,claim,7486721746,8,a friend shared with a friend that the french scrabble world champion winner doesn’t speak french,not verified,under review,726718.0,241278.0,28762.0,1233.0,87.0,0.3320104910020118,0.0001197163136182123,0.03957793807226462,97
79,claim,3780164260,13,a friend shared with a friend that a one-armed player scored the winning goal in the first soccer tournament world cup in 1930,not verified,under review,857998.0,311333.875,45382.5,2880.125,728.5,0.5463998750579838,0.002833339937855333,0.2135424558099203,126
80,claim,8352128964,48,a friend shared with a friend that it is physically impossible for humans to keep their eyes open while sneezing,not verified,active,589041.0,144226.0,45382.5,2880.125,728.5,0.24484883055678636,0.002711186487867568,0.08823324692169136,112
81,claim,1925338598,31,a friend shared with a friend that pineapples are named after pinecones,not verified,active,604898.0,288298.0,45382.5,2880.125,728.5,0.4766059732384633,0.0014862009793386653,0.15833578553739638,71
82,claim,3791068995,20,a friend shared with a friend that losing weight alters brain activity,not verified,under review,737901.0,205717.0,4645.0,666.0,12.0,0.278786720711857,1.6262344135595425e-05,0.0062948823758200625,70
83,claim,6404484639,56,a friend shared with a friend that your fingernails on your dominant hand grow faster,not verified,under review,680252.0,177711.0,1946.0,2880.125,9.0,0.26124289233989756,1.3230391090360631e-05,0.0028607045624268654,85
84,claim,1403965706,31,a friend shared with a friend that playing dance music helps ward off mosquitoes,not verified,under review,250243.0,45005.0,9872.0,705.0,240.0,0.17984519047485845,0.0009590677861118993,0.03944965493540279,80
85,claim,2675430150,28,a friend shared with a friend that mice typically only live for 6 months in the wild,not verified,active,5279.0,2670.0,16.0,12.0,7.0,0.5057776093957189,0.0013260087137715476,0.0030308770600492516,84
86,claim,8975962413,37,a friend shared with a friend that the dwarf planet pluto was named by an 11-year-old girl,not verified,active,364943.0,212815.0,6149.0,906.0,4.0,0.5831458611344785,1.0960615767393813e-05,0.016849206588426136,90
87,claim,4966288323,51,a friend shared with a friend that the insect population of the world is 1 billion times more than the world population,not verified,banned,865320.0,139937.0,45382.5,2574.0,728.5,0.1617170526510424,0.0017380853325937226,0.05716960199694911,119
88,claim,4219642346,51,a friend shared with a friend that the human brain uses 20% of the body's oxygen,not verified,active,874793.0,306997.0,29763.0,2880.125,728.5,0.35093673589066215,0.0022931139138058945,0.03402290599033143,80
89,claim,9716988521,24,a friend shared with a friend that you can fit about 400 grapevines in one acre of land,not verified,active,468077.0,194366.0,37758.0,2880.125,131.0,0.4152436458104115,0.0002798684831769132,0.08066621517399915,87
90,claim,5774531836,57,a friend shared with a friend that a pineapple plant can only produce one pineapple a year,not verified,active,539826.0,132637.0,16501.0,444.0,60.0,0.24570324511972377,0.00011114692512031654,0.030567256856839056,90
91,claim,6837955665,55,a friend shared with a friend that strawberries are the only known fruit to grow their seeds externally,not verified,active,309589.0,170284.0,45382.5,2735.0,728.5,0.5500324623936897,0.002435487048958458,0.1772188288343578,103
92,claim,5424962156,39,a friend mentioned someone discovered that nucelear fission is now being used to produce electricity,not verified,active,572084.0,93187.0,4911.0,1475.0,9.0,0.1628904146943456,1.5731955447102175e-05,0.008584403688968753,100
93,claim,8176623100,26,"a friend mentioned someone discovered that american industrialist andrew carnegie had a net worth of $475 million usd, worth over $300 billion usd today",not verified,active,879769.0,107260.0,27447.0,2288.0,728.5,0.12191836720775567,0.0014287841467476121,0.03119796219234822,152
94,claim,5559711920,37,a friend mentioned someone discovered that the rubik's cube is the best-selling product of all time,not verified,banned,436875.0,260329.0,41775.0,2880.125,728.5,0.5958889842632332,0.004456652360515022,0.09562231759656652,99
95,claim,7401659041,43,a friend mentioned someone discovered that mobile phone use in india is nearly 100%,not verified,active,501354.0,248235.0,45382.5,2880.125,728.5,0.4951291901530655,0.004208603102797624,0.12796347490994386,83
96,claim,6570169707,50,a friend mentioned someone discovered that the total number of multinational companies investing in green initiatives has increased by 35% since 2020,not verified,banned,168449.0,90690.0,16615.0,1962.0,383.0,0.5383825371477421,0.002273685210360406,0.0986351952222928,149
97,claim,1386456170,32,a friend mentioned someone discovered that the oldest playable musical instruments were found in china,not verified,banned,200060.0,106959.0,32426.0,2564.0,728.5,0.5346346096171148,0.007497750674797561,0.1620813755873238,102
98,claim,4415434682,16,a friend mentioned someone discovered that the japanese word ‘karaoke’ comes from a phrase meaning ’empty orchestra’,not verified,under review,423164.0,186423.0,45382.5,2404.0,728.5,0.4405455095423996,0.0033793044776965903,0.13055458403833975,116
99,claim,3490110525,57,a friend mentioned someone discovered that about half of the world's population can access the web via a mobile device,not verified,under review,182650.0,88712.0,28801.0,434.0,95.0,0.48569395017793593,0.0005201204489460717,0.15768409526416644,118
100,claim,8089681692,49,a friend mentioned someone discovered that an average user spends 40% of their day on the internet,not verified,active,195432.0,27339.0,3483.0,433.0,200.0,0.13989008964755004,0.0010233738589381473,0.017822055753407836,98
101,claim,8266347544,9,a friend mentioned someone discovered that the average user checks their mobile phone around 150 times each day,not verified,active,90931.0,51974.0,3568.0,970.0,156.0,0.5715762501237202,0.001715586543642982,0.03923854351101384,111
102,claim,9794898551,43,a friend mentioned someone discovered that 4 of the top 10 highest paid atheletes in the world are players in the american national basketball assocation (nba),not verified,banned,920337.0,311333.875,45382.5,2880.125,728.5,0.6169555282467183,0.003096691755302677,0.2331211284562068,159
103,claim,6445697344,33,a friend mentioned someone discovered that the first gloves used in american sport baseball were fingerless,not verified,active,995247.0,311333.875,45382.5,2880.125,728.5,0.5076679457461314,0.0030957139283012158,0.15759103016638082,107
104,claim,3817438444,23,a friend mentioned someone discovered that the concorde was the fastest passenger jet ever,not verified,banned,956314.0,311333.875,45382.5,2880.125,298.0,0.5986203276329741,0.00031161313125186915,0.1615839567338761,90
105,claim,9952827704,53,a friend mentioned someone discovered that the busiest airport in the world is in the united states,not verified,active,328659.0,165642.0,45382.5,337.0,135.0,0.5039935008625962,0.0004107600887241792,0.14093026510760392,99
106,claim,7687467484,49,"a friend mentioned someone discovered that london, england has the world's oldest subway system",verified,under review,631075.0,284311.0,45382.5,1163.0,354.0,0.4505185596006814,0.0005609475894307333,0.15440637008279523,95
107,claim,7222903379,60,a friend mentioned someone discovered that dragonflies can see in all directions at the same time,not verified,under review,228358.0,19295.0,2332.0,270.0,35.0,0.08449452175969312,0.0001532681141015423,0.010212035488137048,97
108,claim,5923572459,51,a friend mentioned someone discovered that koalas sleep up to 22 hours per day,not verified,active,276059.0,97689.0,38967.0,2376.0,507.0,0.3538700060494315,0.0018365639229295187,0.14115460825403264,78
109,claim,2944539454,53,a friend mentioned someone discovered that the volcano olympus mons on mars is over 3 times taller than mount everest,not verified,banned,351066.0,58438.0,19119.0,39.0,0.0,0.16645872855816285,0.0,0.054459845157320844,117
110,claim,6645515132,41,a friend mentioned someone discovered that saturn is less dense than water,not verified,under review,530697.0,30862.0,8161.0,278.0,166.0,0.058153711062998284,0.00031279619067000567,0.015377889831674195,74
111,claim,3984935056,49,a friend mentioned someone discovered that sound actually travels in space,not verified,active,2883.0,1242.0,348.0,11.0,2.0,0.4308012486992716,0.000693721817551162,0.12070759625390219,74
112,claim,3573642153,56,a friend mentioned someone discovered that a single day on venus takes 243 earth days,not verified,active,426268.0,155933.0,45382.5,2880.125,728.5,0.3658097722559517,0.0045393977497724435,0.11913162611314948,85
113,claim,2507142098,11,a friend mentioned someone discovered that evidence from seymour island suggest that penguins were once 6 ft tall,not verified,under review,660561.0,311333.875,45382.5,2880.125,728.5,0.48813962677178946,0.005221319454221487,0.18218907867706388,113
114,claim,4025589908,40,a friend mentioned someone discovered that the scottish were the first people to fry chicken,not verified,active,150706.0,72838.0,9413.0,454.0,1.0,0.48331187875731557,6.635435881783074e-06,0.06245935795522408,92
115,claim,7041087617,47,a friend mentioned someone discovered that sneezing while traveling at 60 mph makes you close your eyes for 50 feet,not verified,active,965051.0,311333.875,45382.5,2880.125,728.5,0.5876093595053525,0.0026423473992566197,0.06963466179507612,115
116,claim,7373606171,24,a friend mentioned someone discovered that j is the only letter that doesn’t appear on the periodic table of elements,not verified,under review,311719.0,71173.0,6362.0,496.0,163.0,0.22832422791039367,0.0005229068487965122,0.020409407190450375,117
117,claim,1256736154,50,a friend mentioned someone discovered that the tallest tower of cupcakes ever made was over 35 feet,not verified,active,56142.0,27239.0,1540.0,390.0,172.0,0.48518043532471233,0.0030636600049873536,0.027430444230700724,99
118,claim,2115386652,48,a friend mentioned someone discovered that bees can fly higher than mount everest,verified,active,915553.0,272536.0,45382.5,7.0,3.0,0.2976736464191587,3.2767081752776735e-06,0.08552099113868886,81
119,claim,9082277974,20,a friend mentioned someone discovered that cold water is just as cleansing as hot water,not verified,active,593281.0,311333.875,45382.5,2880.125,728.5,0.5596420583163796,0.004190257230553481,0.17511432188119963,87
120,claim,9850813380,59,a friend mentioned someone discovered that more people speak english as their second language than those who use it as their primary language,not verified,banned,169697.0,12958.0,589.0,314.0,120.0,0.07635962922149478,0.0007071427308673695,0.003470892237340672,141
121,claim,6559389686,53,a friend mentioned someone discovered that triskaidekaphobia is the fear of the number 13,not verified,active,812513.0,311333.875,20023.0,2880.125,728.5,0.6438887747026817,0.0034571754544234987,0.02464329801492407,89
122,claim,5597300051,34,a friend mentioned someone discovered that your fingernails on your dominant hand grow faster,not verified,active,743385.0,311333.875,45382.5,1427.0,107.0,0.5578065201746067,0.0001439361838078519,0.07047357694868742,93
123,claim,5066246380,58,a friend mentioned someone discovered that apple seeds contain cyanide,not verified,active,726835.0,293637.0,31598.0,2880.125,728.5,0.4039940289061479,0.002550785253874676,0.04347341556199137,70
124,claim,9463149535,43,a friend mentioned someone discovered that frigate birds can sleep while flying,not verified,active,950500.0,146636.0,25913.0,1956.0,728.5,0.15427248816412414,0.0010057864281956864,0.027262493424513413,79
125,claim,6028042493,38,a friend reported someone discovered that humans will live on mars by 2035,not verified,banned,25771.0,4775.0,1771.0,77.0,26.0,0.18528578634899692,0.0010088859570835434,0.06872065499980598,74
126,claim,2102557699,35,a friend reported someone discovered that we will all fly with individual jetpacks by 2032,not verified,banned,660194.0,311333.875,30579.0,2880.125,728.5,0.5291217430028143,0.002022132888211647,0.046318203437171496,90
127,claim,2818218055,50,a friend reported someone discovered that earth days are getting longer over time due to orbital expansion,not verified,active,848448.0,207258.0,45382.5,2880.125,275.0,0.24427896582937317,0.0003241212189786528,0.06612662178471751,106
128,claim,9826381124,18,a friend reported someone discovered that seventy percent of small businesses are owned and operated by a single person.,not verified,banned,56312.0,36854.0,6211.0,512.0,254.0,0.654460860917744,0.004510583889757068,0.11029620684756357,120
129,claim,7164433838,10,a friend reported someone discovered that more businesses will be owned by women than men by 2045,not verified,under review,263806.0,8528.0,2373.0,27.0,10.0,0.03232678559244293,3.790664351834302e-05,0.0089952465069028,97
130,claim,1474103260,19,a friend reported someone discovered that gross domestic product (gdp) is the best financial indicator of a country's overall trade potential,not verified,active,951464.0,311333.875,45382.5,752.0,387.0,0.38448012746672494,0.0004067416108229003,0.10624679441366147,141
131,claim,3188060641,40,a friend reported someone discovered that 1 billion cars are currently in use around the world,not verified,active,907591.0,291689.0,45382.5,1736.0,728.5,0.32138815832241613,0.0009398506596032794,0.07212279540013068,94
132,claim,2312282712,40,a friend reported someone discovered that it would take less than a month to get to the moon by car at 60mph,not verified,active,285004.0,33069.0,11653.0,572.0,71.0,0.11602995045683569,0.00024911931060616694,0.04088714544357272,108
133,claim,8045719558,40,a friend reported someone discovered that the car radio was first introduced in 1922,not verified,active,611518.0,43431.0,8890.0,196.0,45.0,0.07102162160394297,7.3587367828911e-05,0.014537593333311529,84
134,claim,6287699512,18,a friend reported someone discovered that the harmonica is the best selling musical instrument,not verified,banned,227262.0,34194.0,565.0,456.0,74.0,0.15046070174512238,0.0003256153690454189,0.0024861173447386716,94
135,claim,7194264172,59,a friend reported someone discovered that 90% of the world’s data was generated after 2019,not verified,active,216296.0,92543.0,22041.0,270.0,70.0,0.42785349705958503,0.00032363058031586344,0.10190202315345638,90
136,claim,9514639653,34,a friend reported someone discovered that over 60% of the world's population has access to the internet,not verified,active,714428.0,311333.875,45382.5,2880.125,728.5,0.6241174757988208,0.0035818864882115483,0.09406826160228883,103
